,D,Nombre,Min,P,T2,T2%,T3,T3%,T1,T1%,REB T,REB D+O,A,BR,BP,C,TAP F,TAP C,TAP M,FP F,FP C,+/-,V
0,0,B. Badio,07:13,3,1/1,100%,0/2,0%,1/1,100%,1,0+1,2,0,0,0,0,0,0,2,1,-7,3
1,*1,A. Waczynski,26:53,18,2/3,67%,4/5,80%,2/2,100%,1,1+0,1,1,0,0,0,1,0,3,5,6,20
2,2,G. Bortolani,09:09,6,0/1,0%,1/5,20%,3/3,100%,0,0+0,0,0,0,0,0,0,0,1,2,-5,2
3,*3,J. Harding,30:51,12,4/7,57%,1/4,25%,1/1,100%,1,1+0,1,1,6,0,0,0,0,0,3,1,6
4,4,T. Pérez,11:35,8,2/2,100%,1/1,100%,1/1,100%,4,4+0,0,0,2,2,0,0,0,2,1,8,9
5,6,D. García,08:33,0,0/0,0%,0/3,0%,0/0,0%,0,0+0,3,0,0,0,0,0,0,3,0,1,-3
6,13,M. Sagnia,10:48,7,3/3,100%,0/0,0%,1/1,100%,2,0+2,0,2,0,2,0,0,0,3,2,-7,10
7,17,A. Bursac,11:39,0,0/0,0%,0/1,0%,0/0,0%,2,1+1,0,1,0,0,0,0,0,4,0,-7,-2
8,*21,B. Olumuyiwa,18:10,9,4/4,100%,0/0,0%,1/2,50%,2,1+1,1,0,1,0,1,0,0,1,1,-16,11
9,*22,J. Vaulet,20:24,9,3/5,60%,1/3,33%,0/0,0%,8,7+1,1,0,0,0,0,0,1,1,1,2,14
10,24,M. Lee,18:12,8,4/5,80%,0/0,0%,0/0,0%,4,2+2,2,0,3,0,0,0,3,3,2,5,9
11,*55,D. Pérez,26:33,17,3/11,27%,3/6,50%,2/2,100%,1,0+1,9,0,0,0,0,0,0,3,1,-1,14
12, ,Equipo, , , , , , , , ,4,1+3, ,2,1, , , , ,1,0, ,4
13, ,Total,200:00,97,26/42,62%,11/30,37%,12/13,92%,30,18+12,20,7,13,4,1,1,4,27,19,-20,97
